OPC-N2 FirmwareVer=OPC-016b...............................BD
Config info:
GSC,1.000
LaserDAC,150
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.150,0.401,0.893,1.646,3.208,8.529,22.449,47.712,99.541,199.531,381.703,696.909,1150.346,1767.145,2460.611
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.3981013333
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),T(C),P(Pa),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.404,26.0,101136,1.381,0.511,0.592,0.593
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.404,26.0,101135,1.380,0.320,0.383,0.384
16,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,3.416,26.0,101135,1.381,0.676,1.186,1.209
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3.398,26.0,101139,1.373,0.320,0.336,0.336
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.389,26.0,101135,1.380,0.251,0.264,0.264
11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.398,26.0,101138,1.380,0.357,0.434,0.435
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.406,26.0,101136,1.380,0.249,0.263,0.263
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3.406,26.0,101139,1.380,0.494,0.698,0.708
7,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,31,0,3.402,26.1,101142,1.380,0.478,1.416,1.654
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.409,26.1,101140,1.373,0.302,0.317,0.317
11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.426,26.1,101146,1.380,0.441,0.534,0.535
