Software ver: OPC-N2 Alphasense 1.0.5591.26628
Size LUT file,OPC-N2_06-02-2015.LUT
InfoString,OPC-N2 FirmwareVer=OPC-016b...............................BD
Gain scaling coeff,1
Laser digital pot setting,150
Fan digital pot setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin low boundary (ADC o/p),12,17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Bin low boundary (particle diameter [um]),0.38,0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16
Bin high boundary (particle diameter [um]),0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,17.5
Bin centre (particle diameter [um]),0.46000000834465,0.659999996423721,0.914999961853027,1.19499999284744,1.4650000333786,1.8299999833107,2.5349999666214,3.5,4.5,5.75,7.25,9,11,13,15,16.75
Vol of a particle in bin (um3) (calculated by software),0.0510,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.5410,199.5320,381.7035,696.9100,1150.3465,1767.1459,2460.6115
Vol of a particle in bin (um3) (values stored on OPC),0.0510,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.5410,199.5320,381.7035,696.9100,1150.3466,1767.1459,2460.6116
Density of a particle in bin (g/ml),1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
Sample volume weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42236.3629725463,4.083,1.021,2.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,7.146,0.980,3.60,27,0.36,0.53,0.53,0.42,0.55,1.53
42236.3629841204,10.178,0.000,1.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,11.196,0.982,3.60,101161,0.33,0.42,0.42,0.42,0.55,1.51
42236.3629956944,8.096,2.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,10.120,0.988,3.58,27,0.30,0.33,0.33,0.42,0.54,1.49
42236.3630072685,8.502,1.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,0.00,0.00,0.00,9.565,0.941,3.56,101153,0.25,0.27,0.27,0.41,0.54,1.46
42236.3630188426,6.193,1.032,2.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,0.00,0.00,0.00,9.289,0.969,3.56,27,0.42,0.59,0.59,0.41,0.54,1.45
42236.3630304167,12.371,1.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,0.00,0.00,0.00,13.496,0.889,3.54,101163,0.35,0.37,0.37,0.41,0.54,1.43
42236.3630419907,6.097,1.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,0.00,0.00,0.00,7.114,0.984,3.55,27,0.20,0.21,0.21,0.41,0.53,1.41
42236.3630535648,10.218,1.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.33,0.00,0.00,0.00,11.240,0.979,3.57,101158,0.29,0.31,0.31,0.41,0.53,1.39
42236.3630651389,9.147,3.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,12.196,0.984,3.59,27,0.38,0.42,0.42,0.41,0.53,1.37
42236.363076713,17.635,0.000,0.000,1.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,11.00,0.00,0.00,18.673,0.964,3.59,101152,0.53,0.81,0.82,0.41,0.53,1.36
